STT	Phân Loại	Mã VTBB/NL	Tên VTBB/NL	Tên Trên Hóa Đơn VTBB/NL	Mã HH	Tên Sản phẩm (HH)
1926	Nhãn	NHG1411	[Nhãn] GC - IV - 1411 - GNH - Siêu Rau Quả (Nước nâu đen) - 500ml - 40	Vi lượng Basel VA01	HH1411	GC - IV - 1411 - GNH - Siêu Rau Quả (Nước nâu đen) - 500ml - 40
1927	Nhãn	NHG1412	[Nhãn] IDA Global - I - 1412 - Chấn Phong - Picosuper 280SC (nước trắng sữa) - 240ml - 40	PICOSUPER 280SC	HH1412	IDA Global - I - 1412 - Chấn Phong - Picosuper 280SC (nước trắng sữa) - 240ml - 40
1928	Nhãn	NHG1414	[Nhãn] GC - IV - 1414 - NHP Group - Newmite (nước trong) - 450ml - 40	HAIHAMEC 3.6EC	HH1414	GC - IV - 1414 - NHP Group - Newmite (nước trong) - 450ml - 40
1929	Nhãn	NTN1415	[Nhãn] GC - IV - 1415 - NHP Group - Metalaxyl (bột hồng) - 100gr - 100	Acodyl 35WP	HH1415	GC - IV - 1415 - NHP Group - Metalaxyl (bột hồng) - 100gr - 100
1930	Nhãn	NHD1416	[Nhãn] LOT IDA Global - I - 1416 - Thành Tâm - Mãnh Hổ (Nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH1416	LOT IDA Global - I - 1416 - Thành Tâm - Mãnh Hổ (Nước nâu đen) - 450ml - 40
1931	Nhãn	NHG1417	[Nhãn] LOT IDA Global - I - 1417 - Ba Con Cò - Anh Win (nước trắng sữa) - 1 Lít - 20	Mekongvil 5SC	HH1417	LOT IDA Global - I - 1417 - Ba Con Cò - Anh Win (nước trắng sữa) - 1 Lít - 20
1932	Nhãn	NHG1418	[Nhãn] GC - IV - 1418 - Agriplant - Sâu-Nhện (nước trong) - 450ml - 40	HAIHAMEC 3.6EC	HH1418	GC - IV - 1418 - Agriplant - Sâu-Nhện (nước trong) - 450ml - 40
1933	Nhãn	NHD1420	[Nhãn] GC - II - 1420 - NANO FISH - Nano Soil (Nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH1420	GC - II - 1420 - NANO FISH - Nano Soil (Nước nâu đen) - 5L - 4
1934	Nhãn thùng	NDT1420	[Nhãn thùng] GC - II - 1420 - NANO FISH - Nano Soil (Nước nâu đen) - 5L - 4	Vi lượng Quantity New	HH1420	GC - II - 1420 - NANO FISH - Nano Soil (Nước nâu đen) - 5L - 4
1935	Nhãn	NHG1421	[Nhãn] GC - IV - 1421 - Sen Hồng - Bretil Super 300EC (Nước trắng sữa) - 240ml - 40	BRETIL SUPER 300EC	HH1421	GC - IV - 1421 - Sen Hồng - Bretil Super 300EC (Nước trắng sữa) - 240ml - 40
1936	Nhãn	NHG1422	[Nhãn] GC - IV - 1422 - GNH - Flower (nước nâu đen) - 1L - 20	Vi lượng Basel VA01	HH1422	GC - IV - 1422 - GNH - Flower (nước nâu đen) - 1L - 20
1937	Nhãn	NHG1423	[Nhãn] GC - II - 1423 - NANO FISH - NANO BUD - 1L - 20	Vi lượng Quantity New	HH1423	GC - II - 1423 - NANO FISH - NANO BUD - 1L - 20
1938	Nhãn	NHG1424	[Nhãn] GC - II - 1424 - NANO FISH - NANO GROW - 1L - 20	Vi lượng Quantity New	HH1424	GC - II - 1424 - NANO FISH - NANO GROW - 1L - 20
1939	Nhãn	NHG1429	[Nhãn] LOT IDA Global - I - 1429 - ĐL Lê Trinh - IDA | Genol 1.2SL (nước đỏ) - 480ml - 40	GENOL 1.2SL	HH1429	LOT IDA Global - I - 1429 - ĐL Lê Trinh - IDA | Genol 1.2SL (nước đỏ) - 480ml - 40
1940	Nhãn	NHG1430	[Nhãn] IDA Global - I - 1430 - Tư Nguyên - Diệt Nhện đỏ (Nước đỏ) - 240ml - 60	Chitin 3.6EC	HH1430	IDA Global - I - 1430 - Tư Nguyên - Diệt Nhện đỏ (Nước đỏ) - 240ml - 60
1941	Nhãn	NHG1431	[Nhãn] LOT IDA Global - I - 1431 - Thanh Tùng - Abamectin 3.6 (Nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH1431	LOT IDA Global - I - 1431 - Thanh Tùng - Abamectin 3.6 (Nước nâu đen) - 450ml - 40
1942	Nhãn	NHD1433	[Nhãn] GC - IV - 1433  - CTY Kim Vàng - Oc 39 (nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH1433	GC - IV - 1433  - CTY Kim Vàng - Oc 39 (nước nâu đen) - 450ml - 40
1943	Nhãn	NHG1434	[Nhãn] GC - IV - 1434 - Ba Mùa - Mekongvil 5SC (Nước sữa trắng) - 1L - 20	Mekongvil 5SC	HH1434	GC - IV - 1434 - Ba Mùa - Mekongvil 5SC (Nước sữa trắng) - 1L - 20
1944	Nhãn	NHG1435	[Nhãn] GC - IV - 1435 - GC Luta - KamycinJapane 20SL - 450ml - 40 	Kamycinjapane 20SL	HH1435	GC - IV - 1435 - GC Luta - KamycinJapane 20SL - 450ml - 40 
1945	Nhãn	NTN1436	[Nhãn] GC - IV - 1436 - Sherdoba 55WG (Bột trắng ngà) - 20gr - 200	Sherdoba 55WG	HH1436	GC - IV - 1436 - Sherdoba 55WG (Bột trắng ngà) - 20gr - 200
1946	Nhãn	NHD1438	[Nhãn] GC - II - 1438 - Anh Dương - Trùm Chích Hút (nước tím) - 240ml - 40	Thipro 550EC	HH1438	GC - II - 1438 - Anh Dương - Trùm Chích Hút (nước tím) - 240ml - 40
1947	Nhãn	NHG1439	[Nhãn] LOT IDA Global - I - 1439 - Ba Con Cò - Anh Win (Nước trắng sữa) - 1l - 20	Mekongvil 5SC	HH1439	LOT IDA Global - I - 1439 - Ba Con Cò - Anh Win (Nước trắng sữa) - 1l - 20
1948	Nhãn	NHG1440	[Nhãn] LOT IDA Global - I - 1440 - Ba Con Cò - Sạch Lem Lép (Nước trắng sữa) - 1l - 20	Mekongvil 5SC	HH1440	LOT IDA Global - I - 1440 - Ba Con Cò - Sạch Lem Lép (Nước trắng sữa) - 1l - 20
1949	Nhãn	NHG1441	[Nhãn] IDA Global - I - 1441 - IDA Vil (Vàng) (HD xám)(nắp vàng)(nước vàng) - 1 Lít - 20	Mekongvil 5SC	HH1441	IDA Global - I - 1441 - IDA Vil (Vàng) (HD xám)(nắp vàng)(nước vàng) - 1 Lít - 20
1950	Nhãn	NHG1442	[Nhãn] GC - IV - 1442 - Sen Hồng - Thần Kê (Nước hồng)- 200ml - 40	NEW FUZE 200SC	HH1442	GC - IV - 1442 - Sen Hồng - Thần Kê (Nước hồng)- 200ml - 40
1951	Nhãn	NHG1443	[Nhãn] GC - II - 1443 - Anh Dương - Mekongvil 5SC (Nước sữa trắng) - 1L - 20	Mekongvil 5SC	HH1443	GC - II - 1443 - Anh Dương - Mekongvil 5SC (Nước sữa trắng) - 1L - 20
1952	Nhãn	NTN1444	[Nhãn] NB - K - 1444 - Nông Dược Thụy Sĩ- Tricy 750 (Bột cam) - 100gr - 100	Pim.Pim 75WP	HH1444	NB - K - 1444 - Nông Dược Thụy Sĩ- Tricy 750 (Bột cam) - 100gr - 100
1953	Nhãn	NTN1445	[Nhãn] NB - K - 1445 - Nông Dược Thụy Sĩ- Đạo Ôn 750 (Bột cam) - 100gr - 100	Pim.Pim 75WP	HH1445	NB - K - 1445 - Nông Dược Thụy Sĩ- Đạo Ôn 750 (Bột cam) - 100gr - 100
1954	Nhãn	NHG1447	[Nhãn] GC - II - 1447 - AGC - CSSX An Khang (A.Dinh) - T-AK01 (gel nâu đen) - 500ml - 40	"Vi lượng AV-CFC
(Dạng lỏng)"	HH1447	GC - II - 1447 - AGC - CSSX An Khang (A.Dinh) - T-AK01 (gel nâu đen) - 500ml - 40
1955	Nhãn	NTN1449	[Nhãn]  GC - IV - 1449 - Agriplant - Knock Out Rầy (bột trắng)(túi nhôm) - 100gr - 150	IMIPRID 10WP	HH1449	 GC - IV - 1449 - Agriplant - Knock Out Rầy (bột trắng)(túi nhôm) - 100gr - 150
1956	Nhãn thùng	NDT1449	[Nhãn thùng]  GC - IV - 1449 - Agriplant - Knock Out Rầy (bột trắng)(túi nhôm) - 100gr - 150	IMIPRID 10WP	HH1449	 GC - IV - 1449 - Agriplant - Knock Out Rầy (bột trắng)(túi nhôm) - 100gr - 150
1957	Nhãn	NHD1450	[Nhãn] LOT IDA Global - I - 1450 - Hoàng Em - Abamectin 3.6 (Nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH1450	LOT IDA Global - I - 1450 - Hoàng Em - Abamectin 3.6 (Nước nâu đen) - 450ml - 40
1958	Nhãn	NHG1452	[Nhãn] NB - K - 1452 - BMI - PERFECT EXTRA (Chai trắng, Nhãn trắng) (Nước hồng) - 600ml - 40	Mekongvil 5SC	HH1452	NB - K - 1452 - BMI - PERFECT EXTRA (Chai trắng, Nhãn trắng) (Nước hồng) - 600ml - 40
1959	Nhãn	NHG1453	[Nhãn] GC - IV - 1453 - Sen Hồng - Đạo ôn và nấm khuẩn (nước đỏ) - 450ml - 40	GENOL 1.2SL	HH1453	GC - IV - 1453 - Sen Hồng - Đạo ôn và nấm khuẩn (nước đỏ) - 450ml - 40
1960	Nhãn	NTN1454	[Nhãn] GC - IV - 1454 - Khả Lâm - Imiida Thái (bột màu trắng) - 100gr - 150	IMIPRID 10WP	HH1454	GC - IV - 1454 - Khả Lâm - Imiida Thái (bột màu trắng) - 100gr - 150
1961	Nhãn	NTN1455	[Nhãn] IDA Global - I - 1455 - Metalaxyl (drone) - 100gr - 100	Acodyl 35WP	HH1455	IDA Global - I - 1455 - Metalaxyl (drone) - 100gr - 100
1962	Nhãn thùng	NDT1455	[Nhãn thùng] IDA Global - I - 1455 - Metalaxyl (drone) - 100gr - 100	Acodyl 35WP	HH1455	IDA Global - I - 1455 - Metalaxyl (drone) - 100gr - 100
1963	Nhãn	NHD1456	[Nhãn] GC - II - 1456 - AN KHANG - Haihamec 3.6EC (nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH1456	GC - II - 1456 - AN KHANG - Haihamec 3.6EC (nước nâu đen) - 450ml - 40
1964	Nhãn	NTN1457	[Nhãn] GC - II - 1457 - An Khang - Thalonil 75WP (túi nhôm)(bột màu trắng)- 100gr -100	THALONIL 75WP	HH1457	GC - II - 1457 - An Khang - Thalonil 75WP (túi nhôm)(bột màu trắng)- 100gr -100
1965	[Nhãn]	NHG1457	[Nhãn] GC - II - 1457 - An Khang - Thalonil 75WP (túi nhôm)(bột màu trắng)- 100gr -100	THALONIL 75WP	HH1457	GC - II - 1457 - An Khang - Thalonil 75WP (túi nhôm)(bột màu trắng)- 100gr -100
1966	Nhãn	NHG1458	[Nhãn] IDA Global - I - 1458 - Nhện đỏ (Nước đỏ) - 240ml - 60	Chitin 3.6EC	HH1458	IDA Global - I - 1458 - Nhện đỏ (Nước đỏ) - 240ml - 60
1967	Nhãn	NTN1459	[Nhãn] GC - IV - 1459 - Sen Hồng - Manco Green (túi nhôm)(bột xanh) - 1kg - 20	BYPHAN 800WP	HH1459	GC - IV - 1459 - Sen Hồng - Manco Green (túi nhôm)(bột xanh) - 1kg - 20
1968	Nhãn thùng	NDT1459	[Nhãn thùng] GC - IV - 1459 - Sen Hồng - Manco Green (túi nhôm)(bột xanh) - 1kg - 20	BYPHAN 800WP	HH1459	GC - IV - 1459 - Sen Hồng - Manco Green (túi nhôm)(bột xanh) - 1kg - 20
1969	Nhãn	NHD1460	[Nhãn] IDA Global - I - 1460 - Siêu diệt rầy (rệp) (Nước tím) - 450ml - 40	ABASBA 50EC	HH1460	IDA Global - I - 1460 - Siêu diệt rầy (rệp) (Nước tím) - 450ml - 40
1970	Nhãn	NHD1461	[Nhãn] IDA Global - I -  1461 - Diệt nhện Taiwan (Nước xanh lá) - 480ml - 40	Chitin 3.6EC	HH1461	IDA Global - I -  1461 - Diệt nhện Taiwan (Nước xanh lá) - 480ml - 40
1971	Nhãn	NHD1462	[Nhãn] IDA Global - I - 1462 - IDA Organic (Nước nâu đen)- 5L - 4	Vi lượng Quantity New	HH1462	IDA Global - I - 1462 - IDA Organic (Nước nâu đen)- 5L - 4
1972	Nhãn phụ	NHP1462	[Nhãn phụ] IDA Global - I - 1462 - IDA Organic (Nước nâu đen)- 5L - 4	Vi lượng Quantity New	HH1462	IDA Global - I - 1462 - IDA Organic (Nước nâu đen)- 5L - 4
1973	Nhãn thùng	NDT1462	[Nhãn thùng] IDA Global - I - 1462 - IDA Organic (Nước nâu đen)- 5L - 4	Vi lượng Quantity New	HH1462	IDA Global - I - 1462 - IDA Organic (Nước nâu đen)- 5L - 4
1974	Nhãn	NHG1463	[Nhãn] IDA Global - I - 1463 - King stop (Nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1463	IDA Global - I - 1463 - King stop (Nước nâu đen) - 1L - 20
1975	Nhãn	NHG1464	[Nhãn] IDA Global - I - 1464 - IDA pH (Nước nâu đen) - 1L - 20	PBVL 14 GOLD RICE	HH1464	IDA Global - I - 1464 - IDA pH (Nước nâu đen) - 1L - 20
1976	Nhãn	NHG1465	[Nhãn]  BAMBOO IDA - II - 1465 - Bamboo Nutri (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1465	 BAMBOO IDA - II - 1465 - Bamboo Nutri (nước nâu đen) - 1L - 20
1977	Nhãn	NHG1466	[Nhãn]  BAMBOO IDA - II - 1466 - Bamboo Paclo (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1466	 BAMBOO IDA - II - 1466 - Bamboo Paclo (nước nâu đen) - 1L - 20
1978	Nhãn	NHG1467	[Nhãn] BAMBOO IDA - II - 1467 - Bamboo Flower (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1467	BAMBOO IDA - II - 1467 - Bamboo Flower (nước nâu đen) - 1L - 20
1979	Nhãn	NHG1468	[Nhãn] BAMBOO IDA - II - 1468 - Bamboo Fruit (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1468	BAMBOO IDA - II - 1468 - Bamboo Fruit (nước nâu đen) - 1L - 20
1980	Nhãn	NHG1469	[Nhãn] BAMBOO IDA - II - 1469 - Bamboo pH (nước nâu đen) - 1L - 20	PBVL 14 GOLD RICE	HH1469	BAMBOO IDA - II - 1469 - Bamboo pH (nước nâu đen) - 1L - 20
1981	Nhãn	NHG1470	[Nhãn] BAMBOO IDA - II - 1470 - Bamboo Super Absorption (nước vàng) - 120ml - 50	Vi lượng Quantity New	HH1470	BAMBOO IDA - II - 1470 - Bamboo Super Absorption (nước vàng) - 120ml - 50
1982	Nhãn Phụ 	NHP1470	[Nhãn phụ] BAMBOO IDA - II - 1470 - Bamboo Super Absorption (nước vàng) - 120ml - 50	Vi lượng Quantity New	HH1470	BAMBOO IDA - II - 1470 - Bamboo Super Absorption (nước vàng) - 120ml - 50
1983	Nhãn	NHG1471	[Nhãn] GC - IV - 1471 -  VietChem - Vingold kẽm (nước xanh dương) - 1L - 20	Mekongvil 5SC	HH1471	GC - IV - 1471 -  VietChem - Vingold kẽm (nước xanh dương) - 1L - 20
1984	Nhãn	NHG1472	[Nhãn] IDA Global - I - 1472 - Lưu dẫn thấm sâu (Nước xanh dương)- 120ml - 50	Vi lượng Quantity New	HH1472	IDA Global - I - 1472 - Lưu dẫn thấm sâu (Nước xanh dương)- 120ml - 50
1985	Nhãn	NHD1473	[Nhãn] GC - IV - 1473 - Agritech - Chitin 3.6EC (Nước xanh lá) - 450ml - 40	Chitin 3.6EC	HH1473	GC - IV - 1473 - Agritech - Chitin 3.6EC (Nước xanh lá) - 450ml - 40
1986	Nhãn	NHG1474	[Nhãn] GC - II - 1474 - AGC - Bo.CaX (Nước vàng) - 500ml - 40	Vi lượng Basel IDA 49	HH1474	GC - II - 1474 - AGC - Bo.CaX (Nước vàng) - 500ml - 40
1987	Nhãn	NHG1475	[Nhãn] GC - IV - 1475 - NHP - Nhện đỏ (Nước tím) - 240ml - 40
	Chitin 3.6EC	HH1475	GC - IV - 1475 - NHP - Nhện đỏ (Nước tím) - 240ml - 40

1988	Nhãn	NHG1476	[Nhãn] LOT IDA Global - I - 1476 - An Phát Nông - Calcibor (Nước vàng) - 500ml - 40	Vi lượng Basel IDA 49	HH1476	LOT IDA Global - I - 1476 - An Phát Nông - Calcibor (Nước vàng) - 500ml - 40
1989	Nhãn	NHG1477	[Nhãn] GC - IV - 1477 - CTY SHINO - Trùm ra rễ (nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH1477	GC - IV - 1477 - CTY SHINO - Trùm ra rễ (nước nâu đen) - 500ml - 40
1990	Nhãn	NHG1478	[Nhãn] GC - IV - 1478 - CTY SHINO - Trùm cứng cây (nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH1478	GC - IV - 1478 - CTY SHINO - Trùm cứng cây (nước nâu đen) - 500ml - 40
1991	Nhãn	NHG1479	[Nhãn] GC - IV - 1479 - CTY SHINO - Vô gạo (nước nâu đen) - 500ml - 40	Vi lượng BM-KABO	HH1479	GC - IV - 1479 - CTY SHINO - Vô gạo (nước nâu đen) - 500ml - 40
1992	Nhãn	NHG1480	[Nhãn] IDA Global - I - 1480 - Hiệp Thành - Diệt Nhện Đỏ (Nước đỏ) - 240ml - 60	Chitin 3.6EC	HH1480	IDA Global - I - 1480 - Hiệp Thành - Diệt Nhện Đỏ (Nước đỏ) - 240ml - 60
1993	Nhãn	NHD1480	[Nhãn] IDA Global - I - 1480 - Hiệp Thành - Diệt Nhện Đỏ (Nước đỏ) - 240ml - 60	Chitin 3.6EC	HH1480	IDA Global - I - 1480 - Hiệp Thành - Diệt Nhện Đỏ (Nước đỏ) - 240ml - 60
1994	Nhãn	NHG1481	[Nhãn] GC - IV - 1481 - NHP GROUP - Chitin 3.6EC (nước nâu đen) - 450ml - 40	Chitin 3.6EC	HH1481	GC - IV - 1481 - NHP GROUP - Chitin 3.6EC (nước nâu đen) - 450ml - 40
1995	Nhãn	NHD1482	[Nhãn] GC - IV - 1482 - Lâm Thành - Lớn trái thanh long (Gel xanh lơ) - 22kg - 1	Vi lượng Quantity New	HH1482	GC - IV - 1482 - Lâm Thành - Lớn trái thanh long (Gel xanh lơ) - 22kg - 1
1996	Nhãn	NHG1483	[Nhãn] GC - IV - 1483 - Agricare Úc - Chim Ưng 3.8EC (chai nhôm đỏ) - 240ml - 40	CHIM ƯNG 3.8EC	HH1483	GC - IV - 1483 - Agricare Úc - Chim Ưng 3.8EC (chai nhôm đỏ) - 240ml - 40
1997	Nhãn	NTN1484	[Nhãn] GC - IV - 1484 - Agricare Úc - Rayxanh 200WP (bột trắng) - 85gr - 150	RAYXANH 200WP	HH1484	GC - IV - 1484 - Agricare Úc - Rayxanh 200WP (bột trắng) - 85gr - 150
1998	Nhãn	NDT1484	[Nhãn] GC - IV - 1484 - Agricare Úc - Rayxanh 200WP (bột trắng) - 85gr - 150	RAYXANH 200WP	HH1484	GC - IV - 1484 - Agricare Úc - Rayxanh 200WP (bột trắng) - 85gr - 150
1999	Nhãn	NTN1485	[Nhãn] GC - IV - 1485 - Agricare Úc A. Lộc - Sherdoba 55WG(dạng cốm màu trắng ngà) - 100gr - 100	Sherdoba 55WG	HH1485	GC - IV - 1485 - Agricare Úc A. Lộc - Sherdoba 55WG(dạng cốm màu trắng ngà) - 100gr - 100
2000	Nhãn thùng	NDT1485	[Nhãn thùng] GC - IV - 1485 - Agricare Úc A. Lộc - Sherdoba 55WG(dạng cốm màu trắng ngà) - 100gr - 100	Sherdoba 55WG	HH1485	GC - IV - 1485 - Agricare Úc A. Lộc - Sherdoba 55WG(dạng cốm màu trắng ngà) - 100gr - 100
2001	Nhãn	NTN1486	[Nhãn] GC - IV - 1486 - Agricare Úc A. Lộc - Sạch nấm bệnh (bột màu trắng) - 100gr - 100	THALONIL 75WP	HH1486	GC - IV - 1486 - Agricare Úc A. Lộc - Sạch nấm bệnh (bột màu trắng) - 100gr - 100
2002	NDT 	NDT1487	[Nhãn thùng] GC - II - 1487 - LOT AGC - Nguyễn Văn Hiệp - DR.H2 (Nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1487	GC - II - 1487 - LOT AGC - Nguyễn Văn Hiệp - DR.H2 (Nước nâu đen) - 1L - 20
2003	Nhãn	NHG1487	[Nhãn] GC - II - 1487 - LOT AGC - Nguyễn Văn Hiệp - DR.H2 (Nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1487	GC - II - 1487 - LOT AGC - Nguyễn Văn Hiệp - DR.H2 (Nước nâu đen) - 1L - 20
2004	Nhãn	NTN1488	[Nhãn] GC - IV - 1488 - AGRITECH Hà Lan - TVZEB 800WP (Bột xanh) - 1kg - 20	TVZEB 800WP	HH1488	GC - IV - 1488 - AGRITECH Hà Lan - TVZEB 800WP (Bột xanh) - 1kg - 20
2005	Nhãn	NHG1489	[Nhãn] LOT IDA Global - I - 1489 - ĐL Tập Hưng - Gà Râu (nước nâu đen) - 450ml - 40	HAIHAMEC 3.6EC	HH1489	LOT IDA Global - I - 1489 - ĐL Tập Hưng - Gà Râu (nước nâu đen) - 450ml - 40
2006	Nhãn	NHD1490	[Nhãn] GC - IV - 1490 - Agritech - Diệt nhện số 1 (Nước xanh lá) - 450ml - 40	Chitin 3.6EC	HH1490	GC - IV - 1490 - Agritech - Diệt nhện số 1 (Nước xanh lá) - 450ml - 40
2007	Nhãn	NHG1491	[Nhãn] IDA Global - I - 1491 - HITACO - PICO GOLD (nước hồng) - 200ml - 40	PICOSUPER 280SC	HH1491	IDA Global - I - 1491 - HITACO - PICO GOLD (nước hồng) - 200ml - 40
2008	Nhãn	NHG1492	[Nhãn] IDA Global - I - 1492 - Phước An - PAULTRAL( nước hồng) - 240ml - 40	PICOSUPER 280SC	HH1492	IDA Global - I - 1492 - Phước An - PAULTRAL( nước hồng) - 240ml - 40
2009	HỘP	HOP1493	[HOP] IDA Global - I - 1493 - Bimsuper 650SC (Siêu Diệt Nấm Khuẩn Thế Hệ Mới) - 480ml - 2	BIMSUPER 650SC	HH1493	IDA Global - I - 1493 - Bimsuper 650SC (Drone) (nước hồng cam) - 480ml - 40
2010	Nhãn	NHG1493	[Nhãn] IDA Global - I - 1493 - Bimsuper 650SC (Drone) (nước hồng cam) - 480ml - 40	BIMSUPER 650SC	HH1493	IDA Global - I - 1493 - Bimsuper 650SC (Drone) (nước hồng cam) - 480ml - 40
2011	Nhãn	NHG1495	[Nhãn] GC - IV - 1495 - Kim Ngọc - Kino Root (gel nâu đen) - 500ml - 40	Vi lượng Basel VA01	HH1495	GC - IV - 1495 - Kim Ngọc - Kino Root (gel nâu đen) - 500ml - 40
2012	Nhãn	NHG1496	[Nhãn] GC - II - 1496 - Anh Thiệu - ABASBA 50EC (nước tím) - 450ML - 40	ABASBA 50EC	HH1496	GC - II - 1496 - Anh Thiệu - ABASBA 50EC (nước tím) - 450ML - 40
2013	Nhãn	NHG1497	[Nhãn] GC - IV - 1497 - Anh Thiệu - THIPRO 550EC (nước tím) - 240ML - 40	Thipro 550EC	HH1497	GC - IV - 1497 - Anh Thiệu - THIPRO 550EC (nước tím) - 240ML - 40
2014	Nhãn	NHG1498	[Nhãn] BAMBOO IDA - II - 1498- Bamboo Root 100 (nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH1498	BAMBOO IDA - II - 1498- Bamboo Root 100 (nước nâu đen) - 500ml - 40
2015	Nhãn	NHG1499	[Nhãn] BAMBOO IDA - II - 1499- Bamboo Root Ogranic (nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH1499	BAMBOO IDA - II - 1499- Bamboo Root Ogranic (nước nâu đen) - 500ml - 40
2016	Nhãn	NHG1500	[Nhãn] BAMBOO IDA - II - 1500 - Bamboo Super Rooting (nước nâu đen) - 500ml - 40	Vi lượng Quantity New	HH1500	BAMBOO IDA - II - 1500 - Bamboo Super Rooting (nước nâu đen) - 500ml - 40
2017	Nhãn	NHG1501	[Nhãn] GC - II - 1501- LOT AGC - Thẳng Trang - DR THÁI ( nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1501	GC - II - 1501- LOT AGC - Thẳng Trang - DR THÁI ( nước nâu đen) - 1L - 20
2018	Nhãn	NHG1502	[Nhãn] GC - IV - 1502 - SINO CHEMICAL- BỌ NGỰA SINO (nước xanh dương) - 100ML - 50	NEW FUZE 200SC	HH1502	GC - IV - 1502 - SINO CHEMICAL- BỌ NGỰA SINO (nước xanh dương) - 100ML - 50
2019	Nhãn	NHG1503	[Nhãn] GC - IV - 1503 - SINO CHEMICAL- KASU SINO (nước xanh lá) - 450ML - 40	Kamycinjapane 20SL	HH1503	GC - IV - 1503 - SINO CHEMICAL- KASU SINO (nước xanh lá) - 450ML - 40
2020	Nhãn	NHG1504	[Nhãn] IDA Global - I - 1504 - ĐL Đức Minh - MEKONGVIL 5SC (nước vàng) - 1L - 20	Mekongvil 5SC	HH1504	IDA Global - I - 1504 - ĐL Đức Minh - MEKONGVIL 5SC (nước vàng) - 1L - 20
2021	Nhãn	NHG1505	[Nhãn] IDA Global - I - 1505 - IDA GENOL 1.2SL( nước đỏ ) - 250ml - 40	GENOL 1.2SL	HH1505	IDA Global - I - 1505 - IDA GENOL 1.2SL( nước đỏ ) - 250ml - 40
2022	Nhãn	NTN1506	[Nhãn] GC - IV - 1506 - Khả Lâm - VD100 THAI( bột màu trắng) - 100gr - 150	IMIPRID 10WP	HH1506	GC - IV - 1506 - Khả Lâm - VD100 THAI( bột màu trắng) - 100gr - 150
2023	Nhãn thùng	NDT1506	[Nhãn thùng] GC - IV - 1506 - Khả Lâm - VD100 THAI( bột màu trắng) - 100gr - 150	IMIPRID 10WP	HH1506	GC - IV - 1506 - Khả Lâm - VD100 THAI( bột màu trắng) - 100gr - 150
2024	Nhãn	NHG1509	[Nhãn] IDA Global - I - 1509 - Cá Mập 300( nước trắng sữa ) - 240ml - 40	Solonapy 300SC	HH1509	IDA Global - I - 1509 - Cá Mập 300( nước trắng sữa ) - 240ml - 40
2025	Nhãn	NHG1510	[Nhãn] GC - IV - 1510 - BELLORMAR - Vatino super 525 SE (nước cam sữa) - 240ml - 40	VATINO SUPER 525SE	HH1510	GC - IV - 1510 - BELLORMAR - Vatino super 525 SE (nước cam sữa) - 240ml - 40
2026	Nhãn	NHG1511	[Nhãn] GC - II - 1511 - NANO FISH - UNI STOP 25 (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1511	GC - II - 1511 - NANO FISH - UNI STOP 25 (nước nâu đen) - 1L - 20
2027	Nhãn	NHG1512	[Nhãn] GC - II - 1512 - NANO FISH - PHOSKA 90 (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1512	GC - II - 1512 - NANO FISH - PHOSKA 90 (nước nâu đen) - 1L - 20
2028	Nhãn	NHG1513	[Nhãn] GC - II - 1513 - GC.Nanofish - LEAF 90 (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1513	GC - II - 1513 - GC.Nanofish - LEAF 90 (nước nâu đen) - 1L - 20
2029	Nhãn	NHG1514	[Nhãn] GC - II - 1514 - NANO FISH - KICK UP (nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1514	GC - II - 1514 - NANO FISH - KICK UP (nước nâu đen) - 1L - 20
2030	Nhãn	NHG1515	[Nhãn] GC - II - 1515 - NANO FISH - DROP DOWN(nước nâu đen) - 1L - 20	Vi lượng Quantity New	HH1515	GC - II - 1515 - NANO FISH - DROP DOWN(nước nâu đen) - 1L - 20
2031	Nhãn	NHD1516	[Nhãn] GC - II - 1516 - AGC - Dr.Green (nước xanh) - 250ML - 40	Vi lượng Quantity New	HH1516	GC - II - 1516 - AGC - Dr.Green (nước xanh) - 250ML - 40
