STT	Phân Loại	Mã VTBB/NL	Tên VTBB/NL	Tên Trên Hóa Đơn VTBB/NL	Mã HH	Tên Sản phẩm (HH)
88	Thùng	THC0084	Thùng Agritech can 5 Lít x 4 can (39x32x24cm) - Trắng viền xanh dương	Creek 51WG	HH0084	IDA Global - I - 443.1 - Creek 51WG (Dạng cốm) - 150gr - 100
89	Thùng	THC0085	Thùng NHP chai tròn 250ml x 40 chai ( 46x 30x18cm) - Trắng chữ xanh lá	Solonapy 300SC	HH0085	IDA Global - I - 444 - Sức Mạnh Cá Mập 300 (PET) - 100ml - 100
90	Thùng	THC0086	Thùng Nano Fish can 5 Lít x 4 can (40.5x32.5x25cm) - Trắng	Solonapy 300SC	HH0086	IDA Global - I - 445 - Sức Mạnh Cá Mập 300 (PET) - 240ml - 40
91	Thùng	THC0087	Thùng NHP 100 (300) gói - (44.5x37.5x21) - Trắng chữ xanh lá	TVZEB 800WP	HH0087	GC - I - 447- AU - Mancozeb Xanh - 1kg - 20
92	Thùng	THC0088	Thùng dùng chunng PEST chai 900ml x 20 chai (48x37.5x23.3cm) - Nâu	TVZEB 800WP	HH0088	GC - I - 447- AU - Mancozeb Xanh - 1kg - 20
93	Thùng	THI0089	Thùng IDA chai vuông 450ml, 480ml, 500ml x 40 chai (42x36x22.5cm) - Xanh lá	TVZEB 800WP	HH0089	GC - 448 - I - Thiên Di - Mancozeb Xanh (Nhãn xanh Lá) - 100gr - 100
94	Thùng	THC0090	Thùng chung chai tròn 500ml x 40 chai (60x40.5x20.5cm) - Trắng 	TVZEB 800WP	HH0090	GC - 448 - I - Thiên Di - Mancozeb Xanh (Nhãn xanh Lá) - 100gr - 100
95	Thùng	THC0091	Thùng chung chai tròn cao 500ml x 40 chai (55.5x35x21.5cm) - Trắng 	TVZEB 800WP	HH0091	GC - I - 449 - Thiên Di - Mancozeb Xanh (Nhãn xanh Dương) - 1kg - 20
96	Thùng	THC0092	Thùng dùng chung  50gr x 400 gói (50x46x23cm) - Trắng	TVZEB 800WP	HH0092	GC - I - 449 - Thiên Di - Mancozeb Xanh (Nhãn xanh Dương) - 1kg - 20
97	Thùng	THC0093	Thùng Dùng Chung ABA 100gr x150 gói (50x40x23.5cm) - Trắng	TVZEB 800WP	HH0093	GC - II - 450 - Agriplant - Mancozeb vàng - 1kg - 20
98	Thùng	THC0094	Thùng không cán màng 50gx400 gói (51x46x29cm) - Nâu	TVZEB 800WP	HH0094	GC - II - 450 - Agriplant - Mancozeb vàng - 1kg - 20
99	Thùng	THI0095	Thùng IDA Chai Pet trong 450, 500ml x40 chai (51.5x32x23.5cm) - Xanh Lá	TVZEB 800WP	HH0095	GC - II - 451 - AGC - Mancozeb Xanh - Fungicide - 1 kg - 20
100	Thùng	THC0096	Thùng dùng chung chai vuông 250ml x 40 chai (38x32x16.5cm) - Trắng	TVZEB 800WP	HH0096	GC - II - 451 - AGC - Mancozeb Xanh - Fungicide - 1 kg - 20
101	Thùng	THC0097	Thùng Sen Hồng chai 500ml x 40 chai (55x34.5x21.5cm)  - Trắng viền tím	TVZEB 800WP	HH0097	GC - II - 452 - AGC -Mancozeb Vàng - Fungicide - 1 kg - 20
102	Thùng	THC0098	Thùng Japan chai HDPE 500ml x 30 chai (42x35x24.5) - Trắng viền xanh dương	TVZEB 800WP	HH0098	GC - II - 452 - AGC -Mancozeb Vàng - Fungicide - 1 kg - 20
103	Thùng	THC0099	Thùng HITACO chai tròn 250ml x 40 chai  (51 x 32.5 x 15.5cm) Trắng viền đỏ	TVZEB 800WP	HH0099	GC - II - 454 - BM - Mancozeb Xanh (Nhãn Đỏ) - 1kg - 20
104	Thùng	THC0100	Thùng HITACO chai nắp chụp tròn 1 Lít x 20 chai/thùng  - Nâu viền xanh lá	TVZEB 800WP	HH0100	GC - II - 455 - BM (JAPAN) - Mancozeb Xanh (Nhãn xanh Lá) - 1kg - 20
105	Thùng	THC0101	Thùng HITACO chai tròn 500ml x 40 chai (57x36x20cm) - Trắng viền đỏ	TVZEB 800WP	HH0101	GC - II - 455 - BM (JAPAN) - Mancozeb Xanh (Nhãn xanh Lá) - 1kg - 20
106	Thùng	THC0102	Thùng Dùng Chung ABA chai nắp chụp tròn 1 Lít x 20/thùng (48x 38.5x24.5cm) - Trắng	Pro-tin 480EC	HH0102	GC - II - 459 - AGC - Pro-tin 480EC (PET) - 450ml - 40
107	Thùng	THC0103	Thùng HITACO chai PET vuông 1L x 20 chai (40x36.5x23) - Trắng viền đỏ	Mekongvil 5SC	HH0103	GC - II - 462 - LuTa - Mekongvil 5SC (HD) - 500ml - 40
108	Thùng	THC0104	Thùng dùng chung chai tròn 250ml x 40 chai/thùng (46x29x17,5cm) - Trắng	Kamycinjapane 20SL	HH0104	GC - II - 465 - AGC - Kamycinjapane 20SL (chai tròn) - 450ml - 40
109	Thùng	THC0105	Thùng Dùng Chung PEST chai tròn 1 Lít x 20 chai (48x38,5x23,5cm) - Nâu	"Vi lượng AV-CFC
(Dạng rắn)"	HH0105	GC - I - 471 - TLB - Humi Plus (Túi nhôm) - 1kg - 25
110	Thùng	THC0106	Thùng HITACO chai tròn 450ml, 500ml x 40 chai (62.5x38.5x20cm) - Trắng viền đỏ	Acodyl 35WP	HH0106	GC - II - 475 - AK - Metalaxyl (túi nhôm) - 100g - 100
111	Thùng	THC0107	Thùng DC Basel chai 100ml x 40 chai (54x27,5x22cm) - Nâu	Apple 700WP	HH0107	GC - II - 478 - AGC - Apple 700WP - 100 gr - 100
112	Thùng	THC0108	Thùng Thần Sấm chai tròn 450ml, 500ml x 40 chai (58.5x36x18.5cm) - Trắng viền đỏ	Apple 700WP	HH0108	GC - II - 478 - AGC - Apple 700WP - 100 gr - 100
113	Thùng	THC0109	Thùng Sunrise chai PET vuông  450ml, 500ml x 40 chai (44x38,5x19cm) - Trắng viền đỏ	Pim.Pim 75WP	HH0109	IDA Global - I - 479.1 -Tricyclazole (Drone) - 100gr - 100
114	Thùng	THC0110	Thùng dùng chung Âu Việt 1kg x25 gói (59x38x 21cm) - Nâu	Pim.Pim 75WP	HH0110	IDA Global - I - 479.1 -Tricyclazole (Drone) - 100gr - 100
115	Thùng	THC0111	Thùng HITACO 1kg x 20 gói (61x38x21,5cm) - Trắng viền đỏ	Remy 19EC	HH0111	GC - I - 481 - AU - Remy 19EC (Pet Tròn) - 450ml - 40
116	Thùng	THC0112	Thùng Dùng Chung ABA 100g x100 gói (46x39x21cm) - Trắng	Prima 04	HH0112	GC - II - 485 - LuTa vẩy cá (Humic vẩy) - 10kg - 1
117	Thùng	THC0113	Thùng can 5 lít x 4 can (39x27x31.5cm) - Nâu	Prima 04	HH0113	GC - II - 486 - Luta Vẩy cá (mới) - 1kg - 25
118	Thùng	THC0114	Thùng Chi Nông Phát chai tròn 1L x 20 chai (48x38.5x23.5cm) - Nâu viền xanh lá	Pim.Pim 75WP	HH0114	IDA Global - I - 489 - Tricylazole (drone) - 25gr - 300
119	Thùng	THC0115	Thùng chung gói 1 kg x 18 gói (39x27x 29.5cm) - Nâu	Pim.Pim 75WP	HH0115	IDA Global - I - 489.1 - Tricylazole (drone) - 25gr - 300
120	Thùng	THC0116	Thùng GLOBAL HELP 240ml x 40 chai ( 45x28x17.5) - Nâu viền xanh lá	Pim.Pim 75WP	HH0116	IDA Global - I - 489.1 - Tricylazole (drone) - 25gr - 300
121	Thùng	THI0117	Thùng IDA dùng chung chai 480ml x 40chai x 20 hộp (61x37.5x21cm) - Trắng	TVZEB 800WP	HH0117	GC - I - 490 - AU - Manco vàng - 1kg - 20
122	Thùng	THC0118	Thùng chung SHINO 450,500ml x 30 chai (46x38.5x20cm) - Trắng viền xanh lá	TVZEB 800WP	HH0118	GC - I - 491 - AU - Manco xanh (Nhãn đỏ) - 1kg - 20
123	Thùng	THC0119	Thùng trơn chai tròn 1 Lít x 20 chai - (45x35.5x26.5cm) - Nâu	TVZEB 800WP	HH0119	LOT IDA Global - I - 492 - Mancozeb xanh - 1 kg - 20
124	Thùng	THC0120	Thùng Chi Nông Phát Can vuông 5 Lít x can/thùng  - (42x27.5x 31.5cm) - Nâu viền xanh lá	TVZEB 800WP	HH0120	LOT IDA Global - I - 492 - Mancozeb xanh - 1 kg - 20
125	Thùng	THC0121	Thùng Newtex 1 kg x 25 gói /thùng  - (50x35x35.5cm) -Trắng viền xanh lá	Apashuang 95WP	HH0121	IDA Global - I - 494 - Apashuang (Drone) - 100gr - 100
126	Thùng	THC0122	Thùng dùng chung ABA Chai giả nhôm tròn 240ml x 40 chai (46x29x18.5cm) - Trắng	TVZEB 800WP	HH0122	GC - II - 497 - Luta - Mancozeb xanh - 1kg - 20
